PROCEDURE CODE,LONG DESCRIPTION,SHORT DESCRIPTION,CODE,CODE1,
5351,Incisional hernia repair,Incisional hernia repair,5351,53510,
5359,Repair of other hernia of anterior abdominal wall,Abd wall hern repair NEC,5359,53590,
5361,Other open incisional hernia repair with graft or prosthesis,Open incis hern-grft NEC,5361,53610,
5362,Laparoscopic incisional hernia repair with graft or prosthesis,Lap incis hern repr-grft,5362,53620,
5363,Other laparoscopic repair of other hernia of anterior abdominal wall with graft or prosthesis,Lap hern ant abd-gft NEC,5363,53630,
5369,Other and open repair of other hernia of anterior abdominal wall with graft or prosthesis,Opn hern ant abd-grf NEC,5369,53690,
5371,"Laparoscopic repair of diaphragmatic hernia, abdominal approach",Lap abd rep-diaphr hern,5371,53710,
5372,"Other and open repair of diaphragmatic hernia, abdominal approach",Opn abd diaphrm hern NEC,5372,53720,
5375,"Repair of diaphragmatic hernia, abdominal approach, not otherwise specified",Abd rep-diaphr hern NOS,5375,53750,
5380,"Repair of diaphragmatic hernia with thoracic approach, not otherwise specified",Thor rep-diaph hern NOS,5380,53800,
5381,Plication of the diaphragm,Diaphragmatic plication,5381,53810,
5382,Repair of parasternal hernia,Parastern hernia repair,5382,53820,
5383,"Laparoscopic repair of diaphragmatic hernia, with thoracic approach",Lap thorc app-diaph hern,5383,53830,
5384,"Other and open repair of diaphragmatic hernia, with thoracic approach",Opn thorc diaph hern NEC,5384,53840,
539,Other hernia repair,Other hernia repair,539,5390,
540,Incision of abdominal wall,Abdominal wall incision,540,5400,
5411,Exploratory laparotomy,Exploratory laparotomy,5411,54110,
5412,Reopening of recent laparotomy site,Reopen recent lap site,5412,54120,
5419,Other laparotomy,Laparotomy NEC,5419,54190,
5421,Laparoscopy,Laparoscopy,5421,54210,
5422,Biopsy of abdominal wall or umbilicus,Abdominal wall biopsy,5422,54220,
5423,Biopsy of peritoneum,Peritoneal biopsy,5423,54230,
5424,Closed [percutaneous] [needle] biopsy of intra-abdominal mass,Closed intra-abd mass bx,5424,54240,
5425,Peritoneal lavage,Peritoneal lavage,5425,54250,
5429,Other diagnostic procedures on abdominal region,Abd region dx proc NEC,5429,54290,
543,Excision or destruction of lesion or tissue of abdominal wall or umbilicus,Destruct abd wall lesion,543,5430,
544,Excision or destruction of peritoneal tissue,Destruct peritoneal tiss,544,5440,
5451,Laparoscopic lysis of peritoneal adhesions,Lap periton adhesiolysis,5451,54510,
5459,Other lysis of peritoneal adhesions,Oth periton adhesiolysis,5459,54590,
5461,Reclosure of postoperative disruption of abdominal wall,Reclose post op disrupt,5461,54610,
5462,Delayed closure of granulating abdominal wound,Delayed clos abd wound,5462,54620,
5463,Other suture of abdominal wall,Abd wall suture NEC,5463,54630,
5464,Suture of peritoneum,Peritoneal suture,5464,54640,
5471,Repair of gastroschisis,Repair of gastroschisis,5471,54710,
5472,Other repair of abdominal wall,Abdomen wall repair NEC,5472,54720,
5473,Other repair of peritoneum,Peritoneal repair NEC,5473,54730,
5474,Other repair of omentum,Omental repair NEC,5474,54740,
5475,Other repair of mesentery,Mesenteric repair NEC,5475,54750,
5491,Percutaneous abdominal drainage,Percu abdominal drainage,5491,54910,
5492,Removal of foreign body from peritoneal cavity,Remove FB from periton,5492,54920,
5493,Creation of cutaneoperitoneal fistula,Create cutanperiton fist,5493,54930,
5494,Creation of peritoneovascular shunt,Creat peritoneovas shunt,5494,54940,
5495,Incision of peritoneum,Peritoneal incision,5495,54950,
5496,Injection of air into peritoneal cavity,Injec air-periton cavity,5496,54960,
5497,Injection of locally-acting therapeutic substance into peritoneal cavity,Inj therap subst periton,5497,54970,
5498,Peritoneal dialysis,Peritoneal dialysis,5498,54980,
5499,Other operations of abdominal region,Abdomen region ops NEC,5499,54990,
5501,Nephrotomy,Nephrotomy,5501,55010,
5502,Nephrostomy,Nephrostomy,5502,55020,
55020,Percutaneous nephrostomy without fragmentation,Percu nephrostm w/o frag,55020,550200,
5503,Percutaneous nephrostomy without fragmentation,Percu nephrostm w/o frag,5503,55030,
5504,Percutaneous nephrostomy with fragmentation,Percu nephrostmy w frag,5504,55040,
5511,Pyelotomy,Pyelotomy,5511,55110,
5512,Pyelostomy,Pyelostomy,5512,55120,
5521,Nephroscopy,Nephroscopy,5521,55210,
5522,Pyeloscopy,Pyeloscopy,5522,55220,
5523,Closed [percutaneous] [needle] biopsy of kidney,Closed renal biopsy,5523,55230,
5524,Open biopsy of kidney,Open renal biopsy,5524,55240,
5529,Other diagnostic procedures on kidney,Renal diagnost proc NEC,5529,55290,
5531,Marsupialization of kidney lesion,Renal les marsupializat,5531,55310,
5532,Open ablation of renal lesion or tissue,Opn abltn renal les/tiss,5532,55320,
5533,Percutaneous ablation of renal lesion or tissue,Perc abltn renl les/tiss,5533,55330,
5534,Laparoscopic ablation of renal lesion or tissue,Lap abltn renal les/tiss,5534,55340,
5535,Other and unspecified ablation of renal lesion or tissue,Abltn renal les/tiss NEC,5535,55350,
5539,Other local destruction or excision of renal lesion or tissue,Loc destr renal les NEC,5539,55390,
554,Partial nephrectomy,Partial nephrectomy,554,5540,
5551,Nephroureterectomy,Nephroureterectomy,5551,55510,
5552,Nephrectomy of remaining kidney,Solitary kidney nephrect,5552,55520,
5553,Removal of transplanted or rejected kidney,Rejected kidney nephrect,5553,55530,
5554,Bilateral nephrectomy,Bilateral nephrectomy,5554,55540,
5561,Renal autotransplantation,Renal autotransplant,5561,55610,
5569,Other kidney transplantation,Kidney transplant NEC,5569,55690,
557,Nephropexy,Nephropexy,557,5570,
5581,Suture of laceration of kidney,Suture kidney laceration,5581,55810,
5582,Closure of nephrostomy and pyelostomy,Close nephrost & pyelost,5582,55820,
5583,Closure of other fistula of kidney,Close renal fistula NEC,5583,55830,
5584,Reduction of torsion of renal pedicle,Reduce renal pedicl tors,5584,55840,
5585,Symphysiotomy for horseshoe kidney,Symphysiotomy,5585,55850,
5586,Anastomosis of kidney,Renal anastomosis,5586,55860,
5587,Correction of ureteropelvic junction,Correct ureteropelv junc,5587,55870,
5589,Other repair of kidney,Renal repair NEC,5589,55890,
5591,Decapsulation of kidney,Renal decapsulation,5591,55910,
5592,Percutaneous aspiration of kidney (pelvis),Percutan renal aspirat,5592,55920,
5593,Replacement of nephrostomy tube,Replace nephrostomy tube,5593,55930,
5594,Replacement of pyelostomy tube,Replace pyelostomy tube,5594,55940,
5595,Local perfusion of kidney,Local renal perfusion,5595,55950,
5596,Other injection of therapeutic substance into kidney,Renal injection NEC,5596,55960,
5597,Implantation or replacement of mechanical kidney,Implant mechanic kidney,5597,55970,
5598,Removal of mechanical kidney,Remov mechanical kidney,5598,55980,
5599,Other operations on kidney,Renal operation NEC,5599,55990,
560,Transurethral removal of obstruction from ureter and renal pelvis,Tu remov ureter obstruct,560,5600,
561,Ureteral meatotomy,Ureteral meatotomy,561,5610,
562,Ureterotomy,Ureterotomy,562,5620,
5631,Ureteroscopy,Ureteroscopy,5631,56310,
5632,Closed percutaneous biopsy of ureter,Closed ureteral biopsy,5632,56320,
5633,Closed endoscopic biopsy of ureter,Clos endosc ureteral bx,5633,56330,
5634,Open biopsy of ureter,Open ureteral biopsy,5634,56340,
5635,Endoscopy (cystoscopy) (looposcopy) of ileal conduit,Endoscopic ileal conduit,5635,56350,
5639,Other diagnostic procedures on ureter,Ureteral dx procedur NEC,5639,56390,
5640,"Ureterectomy, not otherwise specified",Ureterectomy NOS,5640,56400,
5641,Partial ureterectomy,Partial ureterectomy,5641,56410,
5642,Total ureterectomy,Total ureterectomy,5642,56420,
5651,Formation of cutaneous uretero-ileostomy,Form cutan ileoureterost,5651,56510,
5652,Revision of cutaneous uretero-ileostomy,Revis cutan ileoureteros,5652,56520,
5661,Formation of other cutaneous ureterostomy,Form cutan ureterostomy,5661,56610,
5662,Revision of other cutaneous ureterostomy,Revis cutan ureteros NEC,5662,56620,
5671,Urinary diversion to intestine,Urin diversion to bowel,5671,56710,
5672,Revision of ureterointestinal anastomosis,Revis ureteroenterostomy,5672,56720,
5673,"Nephrocystanastomosis, not otherwise specified",Nephrocystanastomosi NOS,5673,56730,
5674,Ureteroneocystostomy,Ureteroneocystostomy,5674,56740,
5675,Transureteroureterostomy,Transureteroureterostomy,5675,56750,
5679,Other anastomosis or bypass of ureter,Ureteral anastomosis NEC,5679,56790,
5681,Lysis of intraluminal adhesions of ureter,Intralum urete adhesioly,5681,56810,
5682,Suture of laceration of ureter,Suture ureteral lacerat,5682,56820,
5683,Closure of ureterostomy,Ureterostomy closure,5683,56830,
5684,Closure of other fistula of ureter,Close ureter fistula NEC,5684,56840,
5685,Ureteropexy,Ureteropexy,5685,56850,
5686,Removal of ligature from ureter,Remove ureteral ligature,5686,56860,
5689,Other repair of ureter,Repair of ureter NEC,5689,56890,
5691,Dilation of ureteral meatus,Ureteral meatus dilation,5691,56910,
5692,Implantation of electronic ureteral stimulator,Implant ureteral stimul,5692,56920,
5693,Replacement of electronic ureteral stimulator,Replace ureteral stimul,5693,56930,
5694,Removal of electronic ureteral stimulator,Remove ureteral stimulat,5694,56940,
5695,Ligation of ureter,Ligation of ureter,5695,56950,
5699,Other operations on ureter,Ureteral operation NEC,5699,56990,
570,Transurethral clearance of bladder,Tu bladder clearance,570,5700,
5711,Percutaneous aspiration of bladder,Percutan bladder aspirat,5711,57110,
5712,Lysis of intraluminal adhesions with incision into bladder,Cystotomy & adhesiolysis,5712,57120,
5717,Percutaneous cystostomy,Percutaneous cystostomy,5717,57170,
5718,Other suprapubic cystostomy,Other suprapu cystostomy,5718,57180,
5719,Other cystotomy,Cystotomy NEC,5719,57190,
5721,Vesicostomy,Vesicostomy,5721,57210,
5722,Revision or closure of vesicostomy,Revise clo vesicostomy,5722,57220,
5731,Cystoscopy through artificial stoma,Cystoscopy thru stoma,5731,57310,
5732,Other cystoscopy,Cystoscopy NEC,5732,57320,
5733,Closed [transurethral] biopsy of bladder,Clos transureth bladd bx,5733,57330,
5734,Open biopsy of bladder,Open bladder biopsy,5734,57340,
5739,Other diagnostic procedures on bladder,Bladder diagnos proc NEC,5739,57390,
5741,Transurethral lysis of intraluminal adhesions,Tu adhesiolysis bladder,5741,57410,
5749,Other transurethral excision or destruction of lesion or tissue of bladder,Tu destruc bladd les NEC,5749,57490,
5751,Excision of urachus,Excision of urachus,5751,57510,
5759,Open excision or destruction of other lesion or tissue of bladder,Bladder les destruct NEC,5759,57590,
576,Partial cystectomy,Partial cystectomy,576,5760,
5771,Radical cystectomy,Radical cystectomy,5771,57710,
5779,Other total cystectomy,Total cystectomy NEC,5779,57790,
5781,Suture of laceration of bladder,Suture bladder lacerat,5781,57810,
5782,Closure of cystostomy,Cystostomy closure,5782,57820,
5783,Repair of fistula involving bladder and intestine,Enterovesico fist repair,5783,57830,
5784,Repair of other fistula of bladder,Vesic fistula repair NEC,5784,57840,
5785,Cystourethroplasty and plastic repair of bladder neck,Cystourethroplasty,5785,57850,
5786,Repair of bladder exstrophy,Bladder exstrophy repair,5786,57860,
5787,Reconstruction of urinary bladder,Bladder reconstruction,5787,57870,
5788,Other anastomosis of bladder,Bladder anastomosis NEC,5788,57880,
5789,Other repair of bladder,Bladder repair NEC,5789,57890,
5791,Sphincterotomy of bladder,Bladder sphincterotomy,5791,57910,
5792,Dilation of bladder neck,Bladder neck dilation,5792,57920,
5793,Control of (postoperative) hemorrhage of bladder,Control bladd hemorrhage,5793,57930,
5794,Insertion of indwelling urinary catheter,Insert indwelling cath,5794,57940,
5795,Replacement of indwelling urinary catheter,Replace indwelling cath,5795,57950,
5796,Implantation of electronic bladder stimulator,Implant bladder stimulat,5796,57960,
5797,Replacement of electronic bladder stimulator,Replace bladder stimulat,5797,57970,
5798,Removal of electronic bladder stimulator,Remove bladder stimulat,5798,57980,
5799,Other operations on bladder,Bladder operation NEC,5799,57990,
580,Urethrotomy,Urethrotomy,580,5800,
581,Urethral meatotomy,Urethral meatotomy,581,5810,
5821,Perineal urethroscopy,Perineal urethroscopy,5821,58210,
5822,Other urethroscopy,Urethroscopy NEC,5822,58220,
5823,Biopsy of urethra,Urethral biopsy,5823,58230,
5824,Biopsy of periurethral tissue,Periurethral biopsy,5824,58240,
5829,Other diagnostic procedures on urethra and periurethral tissue,Urethral dx proc NEC,5829,58290,
5831,Endoscopic excision or destruction of lesion or tissue of urethra,Endosc destr urethra les,5831,58310,
5839,Other local excision or destruction of lesion or tissue of urethra,Other destru urethra les,5839,58390,
5841,Suture of laceration of urethra,Suture urethral lacerat,5841,58410,
5842,Closure of urethrostomy,Urethrostomy closure,5842,58420,
5843,Closure of other fistula of urethra,Close ureth fistula NEC,5843,58430,
5844,Reanastomosis of urethra,Urethral reanastomosis,5844,58440,
5845,Repair of hypospadias or epispadias,Hypo-epispadius repair,5845,58450,
5846,Other reconstruction of urethra,Ureth reconstruction NEC,5846,58460,
5847,Urethral meatoplasty,Urethral meatoplasty,5847,58470,
5849,Other repair of urethra,Urethral repair NEC,5849,58490,
585,Release of urethral stricture,Ureth stricture release,585,5850,
586,Dilation of urethra,Urethral dilation,586,5860,
5891,Incision of periurethral tissue,Periurethral incision,5891,58910,
5892,Excision of periurethral tissue,Periurethral excision,5892,58920,
5893,Implantation of artificial urinary sphincter [AUS],Implt artf urin sphinct,5893,58930,
5899,Other operations on urethra and periurethral tissue,Ureth/periureth op NEC,5899,58990,
5900,"Retroperitoneal dissection, not otherwise specified",Retroperit dissect NOS,5900,59000,
5902,Other lysis of perirenal or periureteral adhesions,Periren adhesiolys NEC,5902,59020,
5903,Laparoscopic lysis of perirenal or periureteral adhesions,Lap lys periren/uret adh,5903,59030,
5909,Other incision of perirenal or periureteral tissue,Periren/ureter incis NEC,5909,59090,
5911,Other lysis of perivesical adhesions,Oth lys perives adhesio,5911,59110,
5912,Laparoscopic lysis of perivesical adhesions,Lap lys perivesureth adh,5912,59120,
5919,Other incision of perivesical tissue,Perivesical incision NEC,5919,59190,
5921,Biopsy of perirenal or perivesical tissue,Periren/ureteral biopsy,5921,59210,
5929,"Other diagnostic procedures on perirenal tissue, perivesical tissue, and retroperitoneum",Periren/uret dx proc NEC,5929,59290,
593,Plication of urethrovesical junction,Urethroves junct plicat,593,5930,
594,Suprapubic sling operation,Suprapubic sling op,594,5940,
595,Retropubic urethral suspension,Retropubic ureth suspens,595,5950,
596,Paraurethral suspension,Paraurethral suspension,596,5960,
5971,Levator muscle operation for urethrovesical suspension,Levator musc suspension,5971,59710,
5972,Injection of implant into urethra and/or bladder neck,Inject implant urethra,5972,59720,
5979,Other repair of urinary stress incontinence,Urin incontin repair NEC,5979,59790,
598,Ureteral catheterization,Ureteral catheterization,598,5980,
5991,Excision of perirenal or perivesical tissue,Periren/vesicle excision,5991,59910,
5992,Other operations on perirenal or perivesical tissue,Periren/vesicle op NEC,5992,59920,
5993,Replacement of ureterostomy tube,Replace ureterost tube,5993,59930,
5994,Replacement of cystostomy tube,Replace cystostomy tube,5994,59940,
5995,Ultrasonic fragmentation of urinary stones,Ultrason fragment-stone,5995,59950,
5999,Other operations on urinary system,Urinary system op NEC,5999,59990,
600,Incision of prostate,Incision of prostate,600,6000,
6011,Closed [percutaneous] [needle] biopsy of prostate,Closed prostatic biopsy,6011,60110,
6012,Open biopsy of prostate,Open prostatic biopsy,6012,60120,
6013,Closed [percutaneous] biopsy of seminal vesicles,Clos seminal vesicles bx,6013,60130,
6014,Open biopsy of seminal vesicles,Open seminal vesicles bx,6014,60140,
6015,Biopsy of periprostatic tissue,Periprostatic biopsy,6015,60150,
6018,Other diagnostic procedures on prostate and periprostatic tissue,Prostatic dx proced NEC,6018,60180,
6019,Other diagnostic procedures on seminal vesicles,Semin ves dx proced NEC,6019,60190,
6021,Transurethral (ultrasound) guided laser induced prostatectomy (TULIP),Transureth prostatectomy,6021,60210,
6029,Other transurethral prostatectomy,Oth transureth prostatec,6029,60290,
603,Suprapubic prostatectomy,Suprapubic prostatectomy,603,6030,
604,Retropubic prostatectomy,Retropubic prostatectomy,604,6040,
605,Radical prostatectomy,Radical prostatectomy,605,6050,
6061,Local excision of lesion of prostate,Los excis prostatic les,6061,60610,
6062,Perineal prostatectomy,Perineal prostatectomy,6062,60620,
6069,Other prostatectomy,Prostatectomy NEC,6069,60690,
6071,Percutaneous aspiration of seminal vesicle,Percut semin ves aspirat,6071,60710,
6072,Incision of seminal vesicle,Seminal vesicle incision,6072,60720,
6073,Excision of seminal vesicle,Seminal vesicle excision,6073,60730,
6079,Other operations on seminal vesicles,Seminal vesicle op NEC,6079,60790,
6081,Incision of periprostatic tissue,Periprostatic incision,6081,60810,
6082,Excision of periprostatic tissue,Periprostatic excision,6082,60820,
6091,Percutaneous aspiration of prostate,Percut prostatic aspirat,6091,60910,
6092,Injection into prostate,Injection into prostate,6092,60920,
6093,Repair of prostate,Repair of prostate,6093,60930,
6094,Control of (postoperative) hemorrhage of prostate,Control prostate hemorr,6094,60940,
6095,Transurethral balloon dilation of the prostatic urethra,Trans bal dil pros ureth,6095,60950,
6096,Transurethral destruction of prostate tissue by microwave thermotherapy,Tu destr prostate by mt,6096,60960,
6097,Other transurethral destruction of prostate tissue by other thermotherapy,Oth tu destr pros - rt,6097,60970,
6099,Other operations on prostate,Prostatic operation NEC,6099,60990,
610,Incision and drainage of scrotum and tunica vaginalis,Scrotum & tunica i & d,610,6100,
6111,Biopsy of scrotum or tunica vaginalis,Scrotum & tunica biopsy,6111,61110,
6119,Other diagnostic procedures on scrotum and tunica vaginalis,Scrot/tunica dx proc NEC,6119,61190,
612,Excision of hydrocele (of tunica vaginalis),Excision of hydrocele,612,6120,
613,Excision or destruction of lesion or tissue of scrotum,Scrotal les destruction,613,6130,
6141,Suture of laceration of scrotum and tunica vaginalis,Suture scrotal lacerat,6141,61410,
6142,Repair of scrotal fistula,Scrotal fistula repair,6142,61420,
6149,Other repair of scrotum and tunica vaginalis,Scrotum/tunic repair NEC,6149,61490,
6191,Percutaneous aspiration of tunica vaginalis,Percut tunica aspiration,6191,61910,
6192,Excision of lesion of tunica vaginalis other than hydrocele,Excision tunica les NEC,6192,61920,
6199,Other operations on scrotum and tunica vaginalis,Scrotum & tunica op NEC,6199,61990,
620,Incision of testis,Incision of testes,620,6200,
6211,Closed [percutaneous] [needle] biopsy of testis,Closed testicular biopsy,6211,62110,
6212,Open biopsy of testis,Open testicular biopsy,6212,62120,
6219,Other diagnostic procedures on testes,Testes dx procedure NEC,6219,62190,
622,Excision or destruction of testicular lesion,Testicular les destruct,622,6220,
623,Unilateral orchiectomy,Unilateral orchiectomy,623,6230,
6241,Removal of both testes at same operative episode,Remove both testes,6241,62410,
6242,Removal of remaining testis,Remove solitary testis,6242,62420,
625,Orchiopexy,Orchiopexy,625,6250,
6261,Suture of laceration of testis,Suture testicular lacer,6261,62610,
6269,Other repair of testis,Testicular repair NEC,6269,62690,
627,Insertion of testicular prosthesis,Insert testicular prosth,627,6270,
6291,Aspiration of testis,Aspiration of testes,6291,62910,
6292,Injection of therapeutic substance into testis,Injection into testes,6292,62920,
6299,Other operations on testes,Testicular operation NEC,6299,62990,
6301,"Biopsy of spermatic cord, epididymis, or vas deferens",Spermatic cord/vas biops,6301,63010,
6309,"Other diagnostic procedures on spermatic cord, epididymis, and vas deferens",Spermat cord/vas dx NEC,6309,63090,
631,Excision of varicocele and hydrocele of spermatic cord,Exc spermatic varicocele,631,6310,
632,Excision of cyst of epididymis,Excise epididymis cyst,632,6320,
633,Excision of other lesion or tissue of spermatic cord and epididymis,Excise cord/epid les NEC,633,6330,
634,Epididymectomy,Epididymectomy,634,6340,
6351,Suture of laceration of spermatic cord and epididymis,Suture cord & epid lacer,6351,63510,
6352,Reduction of torsion of testis or spermatic cord,Reduction torsion testes,6352,63520,
6353,Transplantation of spermatic cord,Transplant spermat cord,6353,63530,
6359,Other repair of spermatic cord and epididymis,Cord & epidid repair NEC,6359,63590,
636,Vasotomy,Vasotomy,636,6360,
6370,"Male sterilization procedure, not otherwise specified",Male sterilization NOS,6370,63700,
6371,Ligation of vas deferens,Ligation of vas deferens,6371,63710,
6372,Ligation of spermatic cord,Spermatic cord ligation,6372,63720,
6373,Vasectomy,Vasectomy,6373,63730,
6381,Suture of laceration of vas deferens and epididymis,Suture vas & epidid lac,6381,63810,
6382,Reconstruction of surgically divided vas deferens,Postop vas reconstruct,6382,63820,
6383,Epididymovasostomy,Epididymovasostomy,6383,63830,
6384,Removal of ligature from vas deferens,Removal vas ligature,6384,63840,
6385,Removal of valve from vas deferens,Remov vas deferens valve,6385,63850,
6389,Other repair of vas deferens and epididymis,Vas & epididy repair NEC,6389,63890,
6391,Aspiration of spermatocele,Spermatocele aspiration,6391,63910,
6392,Epididymotomy,Epididymotomy,6392,63920,
6393,Incision of spermatic cord,Spermatic cord incision,6393,63930,
6394,Lysis of adhesions of spermatic cord,Sperm cord adhesiolysis,6394,63940,
6395,Insertion of valve in vas deferens,Insert valve in vas def,6395,63950,
6399,"Other operations on spermatic card, epididymis, and vas deferens",Cord/epid/vas ops NEC,6399,63990,
640,Circumcision,Circumcision,640,6400,
6411,Biopsy of penis,Penile biopsy,6411,64110,
6419,Other diagnostic procedures on penis,Penile diagnost proc NEC,6419,64190,
642,Local excision or destruction of lesion of penis,Local excis penile les,642,6420,
643,Amputation of penis,Amputation of penis,643,6430,
6441,Suture of laceration of penis,Suture penile laceration,6441,64410,
6442,Release of chordee,Release of chordee,6442,64420,
6443,Construction of penis,Construction of penis,6443,64430,
6444,Reconstruction of penis,Reconstruction of penis,6444,64440,
6445,Replantation of penis,Replantation of penis,6445,64450,
6449,Other repair of penis,Penile repair NEC,6449,64490,
645,"Operations for sex transformation, not elsewhere classified",Sex transformat op NEC,645,6450,
6491,Dorsal or lateral slit of prepuce,Dorsal/lat slit prepuce,6491,64910,
6492,Incision of penis,Incision of penis,6492,64920,
6493,Division of penile adhesions,Division of penile adhes,6493,64930,
6494,Fitting of external prosthesis of penis,Fit ext penile prosthes,6494,64940,
6495,Insertion or replacement of non-inflatable penile prosthesis,Ins noninfl penis prosth,6495,64950,
6496,Removal of internal prosthesis of penis,Remove int penile prosth,6496,64960,
6497,Insertion or replacement of inflatable penile prosthesis,Ins inflate penis prosth,6497,64970,
6498,Other operations on penis,Penile operation NEC,6498,64980,
6499,Other operations on male genital organs,Male genital op NEC,6499,64990,
6501,Laparoscopic oophorotomy,Laparoscopic oophorotomy,6501,65010,
6509,Other oophorotomy,Other oophorotomy,6509,65090,
6511,Aspiration biopsy of ovary,Ovarian aspirat biopsy,6511,65110,
6512,Other biopsy of ovary,Ovarian biopsy NEC,6512,65120,
6513,Laparoscopic biopsy of ovary,Lap biopsy of ovary,6513,65130,
6514,Other laparoscopic diagnostic procedures on ovaries,Oth lap dx proc ovaries,6514,65140,
6519,Other diagnostic procedures on ovaries,Ovarian dx procedure NEC,6519,65190,
6521,Marsupialization of ovarian cyst,Ovarian cyst marsupializ,6521,65210,
6522,Wedge resection of ovary,Ovarian wedge resection,6522,65220,
6523,Laparoscopic marsupialization of ovarian cyst,Lap marsup ovarian cyst,6523,65230,
6524,Laparoscopic wedge resection of ovary,Lap wedge resect ovary,6524,65240,
6525,Other laparoscopic local excision or destruction of ovary,Oth lap loc exc dest ova,6525,65250,
6529,Other local excision or destruction of ovary,Local destr ova les NEC,6529,65290,
6531,Laparoscopic unilateral oophorectomy,Lap unilat oophorectomy,6531,65310,
6539,Other unilateral oophorectomy,Oth unilat oophorectomy,6539,65390,
6541,Laparoscopic unilateral salpingo-oophorectomy,Lap uni salpingo-oophor,6541,65410,
6549,Other unilateral salpingo-oophorectomy,Oth uni salpingo-oophor,6549,65490,
6551,Other removal of both ovaries at same operative episode,Oth remove both ovaries,6551,65510,
6552,Other removal of remaining ovary,Oth remove remain ovary,6552,65520,
6553,Laparoscopic removal of both ovaries at same operative episode,Lap remove both ovaries,6553,65530,
6554,Laparoscopic removal of remaining ovary,Lap remove remain ovary,6554,65540,
6561,Other removal of both ovaries and tubes at same operative episode,Oth remove ovaries/tubes,6561,65610,
6562,Other removal of remaining ovary and tube,Oth remove rem ova/tube,6562,65620,
6563,Laparoscopic removal of both ovaries and tubes at same operative episode,Lap remove ovaries/tubes,6563,65630,
6564,Laparoscopic removal of remaining ovary and tube,Lap remove rem ova/tube,6564,65640,
6571,Other simple suture of ovary,Oth simple suture ovary,6571,65710,
6572,Other reimplantation of ovary,Oth reimplant of ovary,6572,65720,
6573,Other salpingo-oophoroplasty,Oth salpingo-oophoroplas,6573,65730,
6574,Laparoscopic simple suture of ovary,Lap simple suture ovary,6574,65740,
6575,Laparoscopic reimplantation of ovary,Lap reimplant of ovary,6575,65750,
6576,Laparoscopic salpingo-oophoroplasty,Lap salpingo-oophoroplas,6576,65760,
6579,Other repair of ovary,Repair of ovary NEC,6579,65790,
6581,Laparoscopic lysis of adhesions of ovary and fallopian tube,Lap adhesiolys ova/tube,6581,65810,
6589,Other lysis of adhesions of ovary and fallopian tube,Adhesiolysis ovary/tube,6589,65890,
6591,Aspiration of ovary,Aspiration of ovary,6591,65910,
6592,Transplantation of ovary,Transplantation of ovary,6592,65920,
6593,Manual rupture of ovarian cyst,Manual rupt ovarian cyst,6593,65930,
6594,Ovarian denervation,Ovarian denervation,6594,65940,
6595,Release of torsion of ovary,Ovarian torsion release,6595,65950,
6599,Other operations on ovary,Ovarian operation NEC,6599,65990,
6601,Salpingotomy,Salpingotomy,6601,66010,
6602,Salpingostomy,Salpingostomy,6602,66020,
6611,Biopsy of fallopian tube,Fallopian tube biopsy,6611,66110,
6619,Other diagnostic procedures on fallopian tubes,Fallop tube dx proc NEC,6619,66190,
6621,Bilateral endoscopic ligation and crushing of fallopian tubes,Bilat endosc crush tube,6621,66210,
6622,Bilateral endoscopic ligation and division of fallopian tubes,Bilat endosc divis tube,6622,66220,
6629,Other bilateral endoscopic destruction or occlusion of fallopian tubes,Bilat endos occ tube NEC,6629,66290,
6631,Other bilateral ligation and crushing of fallopian tubes,Bilat tubal crushing NEC,6631,66310,
6632,Other bilateral ligation and division of fallopian tubes,Bilat tubal division NEC,6632,66320,
6639,Other bilateral destruction or occlusion of fallopian tubes,Bilat tubal destruct NEC,6639,66390,
664,Total unilateral salpingectomy,Total unilat salpingect,664,6640,
6651,Removal of both fallopian tubes at same operative episode,Remove both fallop tubes,6651,66510,
6652,Removal of remaining fallopian tube,Remove solitary fal tube,6652,66520,
6661,Excision or destruction of lesion of fallopian tube,Destroy fallop tube les,6661,66610,
6662,Salpingectomy with removal of tubal pregnancy,Remov tube & ectop preg,6662,66620,
6663,"Bilateral partial salpingectomy, not otherwise specified",Bilat part salpingec NOS,6663,66630,
6669,Other partial salpingectomy,Partial salpingectom NEC,6669,66690,
6671,Simple suture of fallopian tube,Simpl suture fallop tube,6671,66710,
6672,Salpingo-oophorostomy,Salpingo-oophorostomy,6672,66720,
6673,Salpingo-salpingostomy,Salpingo-salpingostomy,6673,66730,
6674,Salpingo-uterostomy,Salpingo-uterostomy,6674,66740,
6679,Other repair of fallopian tube,Fallop tube repair NEC,6679,66790,
668,Insufflation of fallopian tube,Fallopian tube insufflat,668,6680,
6691,Aspiration of fallopian tube,Fallopian tube aspirat,6691,66910,
6692,Unilateral destruction or occlusion of fallopian tube,Unilat fallop tube destr,6692,66920,
6693,Implantation or replacement of prosthesis of fallopian tube,Impl fallop tube prosth,6693,66930,
6694,Removal of prosthesis of fallopian tube,Remov fallop tube prosth,6694,66940,
6695,Insufflation of therapeutic agent into fallopian tubes,Blow therapeut into tube,6695,66950,
6696,Dilation of fallopian tube,Fallopian tube dilation,6696,66960,
6697,Burying of fimbriae in uterine wall,Bury fimbriae in uterus,6697,66970,
6699,Other operations on fallopian tubes,Fallopian tube op NEC,6699,66990,
670,Dilation of cervical canal,Cervical canal dilation,670,6700,
